prompt,hq1,hq2,mq1,lq1,lq2,lq3,lq4,lq5
"no one can tell me what to do. if i want to smoke, i will and i will stop when i feel like it. i have reduced the number of cigarettes anyway, so i don’t smoke that much anymore, but if anyone tells me to quit, i feel like i want to light up a cigarette right then.",you like to be in control of your life and your own decision making and it really bugs you when other people try to give you advice.,you've really worked hard to cut back and you've been successful. you've found things that have worked well for you.,you don't like it when other people tells you what to do.,if you can tell yourself to quit then you should.,can't you just tell yourself to quit?,think like that and you will never stop smoking and you will only be harming your health.,i don't like being told what to do either.  i know that you already know it's not good for your health to continue smoking. do you wish to quit or have any help in quitting?,"you have the right to smoke cigarettes. you probably know how harmful they are. if you are willing to pay the consequences, which can be a cancer, just do whatever you want!"
"i think that it may become difficult to stay smoke free once i return to work. there is a ritual in the office, it’s how we start the days and take breaks. i could not guarantee that once i return to work and the baby is all grown up i won’t start again. but definitely not now, while i am breastfeeding and around the little one all day.",you feel strongly that it’s important not to smoke now while you’re breastfeeding and at home with your baby but you’re unsure how you’re going to keep up the momentum once you’re back to work and around your co-workers.,you want to stay smoke-free once you return to work. you're realizing that you'll need a plan in place before heading back so that you're prepared for the daily office rituals that can lead to smoking.,staying quit is going to be hard once you go back to work.,you see you don't need to smoke since you're not smoking at home. you should be able to not smoke once you return to work.,"if you can not smoke at home, what's the big deal about also not smoking at work?",don't give in to the peer pressure. they don't know what's best for you.,"you re really strong, but i am sure you will always be capable of choosing what is best for your son: remember his health!",overcome the addiction and you will see that you will have a much better life and overcome the problems with other things like physical activities.
"i was never a real smoker, you know? just when i was having a hard time at work or when stress gets really bad, but it doesn’t happen often enough for me to call myself a smoker. it’s not like i ever had a pack a day. even if i start again, it won’t be more than a few a day.","you never really saw yourself as a smoker, but someone who would smoke a cigarette occasionally just to decompress.","if you did smoke more than you do now, you would consider yourself a smoker and potentially be looking for ways to cut back or quit.  ",you don't consider yourself a smoker.,"since you can go longer periods without smoking, it seems like you can choose to never start again. 
",will you sign this contract stating you'll never smoke a cigarette again?,"just the fact that you’re starting again is troublesome. i know what you weren’t in the past, but you never know what you can become in the future with this habit.","so control yourself, never let the addiction take over.",is starting again something that you want? i know most people don't. what can we do to replace what smoking does to help you feel good?
"the biggest challenge is having friends over and seeing them smoke. i used to smoke with my (female) friends and just gossip and catch up. and i don’t miss smoking per se, but when they come to visit me, especially now when the child is small and everyone comes to see him, it’s sometimes hard to see everyone smoking.","on one hand you really don’t miss cigarettes all that much but on the other hand, you do miss the time that you spent with your friends when smoking together.",you feel really conflicted between wanting girl time with your friends and knowing you'll be tempted to smoke when they're around.,having friends who smoke is a challenge.,sounds like you need a new group of friends that don't smoke.,where can you make new friends?,"i think if you explained this to your friends, they would understand. you could ask them not to smoke when they come over to your place.",you have already surpassed yourself and are still better than those who are still living this addiction.,maybe you should speak to them about this?
"my husband still smokes. but he only smokes on the balcony, so not around me, although he did smoke next to me when we went out last time. then it wasn’t a temptation, because my reasons for quitting are strong, but i guess that could be a temptation to start smoking again in the future.","while you haven’t been really been tempted so far, you do see that it could be a possibility in the future if your husband keeps smoking around you.",you wish that your husband would quit with you.,your husband is still smoking which makes it hard for you.,"if you feel tempted again, you should talk to your husband about quitting smoking too.",have you told your husband to quit?,"this can eventually happen, but be stronger and remember the reasons that made you stop and talk to your husband, so that he has common sense and still try to stop this addiction.",okay for him  to get rid of this habit he has to get into a new good habit for example learning to play musical instruments  there is a chance of healing through this take care,i think quitting smoking for the both of you is the best approach.
"i tried to stop smoking but it is very difficult when i go to work, as all my colleagues smoke during our breaks.  it is hard to say no when everyone around you is smoking.",you might be able to consider quitting smoking if you didn’t have to be around other smokers.,you wish that it was different at work. you'd really like to find a way to quit but your co-workers smoking are too large of a temptation that you don't feel able to overcome.,being around other smokers is tempting.,you need to find a way to not smoke when you are at work.,have you thought about getting a different job or people don't smoke?,"i understand. perhaps there is somewhere you could take your break where no one is smoking. if not, then try chewing gum or hard candy during your break to occupy your mouth.",maybe you can spend your breaktime with other workers who dont smoke.,maybe you should try and explain this to your colleagues
"i know that smoking is harmful, but i don’t see myself being affected by it. i read the warnings on the cigarette packs, and i even looked for information online. so, i know what it does. but i don’t feel it will happen to me.","it doesn't seem likely that the warnings on the side of the package will impact you. if you had a family history of lung cancer or heart disease, you might feel differently.  ","while you’re aware that smoking can be detrimental to your health, you’re pretty confident that nothing bad will happen to you. ",you don't think the warnings on the label apply to you.,you don't understand how smoking is harmful to you. let me show you some pictures that will make it clear to you how harmful smoking is for you.,have you ever heard of black lung?,cigarettes are proven to be harmful. there is plenty of data to support that cigarettes cause harm. cigarettes are also a danger to others through secondhand smoke.,why do you not feel like it will happen to you?,we probably want to look at the statistics a little deeper because it may end up happening to you. have you thought about why you want or need to smoke so badly?
"at this point i am smoke free. i decided to do this while i’m breastfeeding. however, i will probably start smoking after breastfeeding ends. i am a physician and i know that five cigarettes a day won’t kill me.",you’ve been really successful at quitting smoking for the benefit of your baby. you’re still on the fence about whether or not you’ll go back to smoking when she’s done nursing.,you see absolutely no benefit to stayng quit after your done breastfeeding.,you think you'll end up going back to smoking.,smoking impacts more than just your breastmilk. your child will have lifelong damage by having a parent that smokes.,why would you quit during breastfeeding just to go back to smoking?,"you are a doctor and you know what you are doing, and you know that it kills you little by little, even aware of the situation the problem is simply yours, the change comes from yourself.","it may not kill you, but it's not healthy for you either. why do you want to start again after breastfeeding and not smoking for so long?",ok
"i feel very agitated when i try to quit smoking.  also, the doctor told me, if things get rough, instead of being depressive or anxious, i can light up a cigarette, have three puffs and then discard it. so, i have reduced smoking, but i cannot quit completely. i sometimes still smoke a quarter of a cigarette to keep myself calm.",you’ve worked hard to cut down on the number of cigarettes you smoke. you’re finding that the thought of quitting is upsetting so you’ve found a way to cut back without quitting completely.,"your smoking feels a bit out of control. you want to quit, you put a lot of effort in, but the messages you're receiving about having just a couple puffs feel like they're setting you back a bit -- almost like a loophold that makes it ok to keep smoking. ",you've find yourself feeling anxious and depressed when you try to quit.,have you considered finding other coping mechanisms like deep breathing or journaling?,a doctor told you it's ok to smoke??,"i know what the doctor told you, do you think you have to discipline in order to just have three puffs?",wanting to quit smoking is up to you and know that this is a risk to your health.,"can you think of anything you could do to replace it? chewing on gum, having a sip of diet soda, or going for a quick walk?"
"since i quit smoking i never thought about it. i am only thinking about it now, that you brought it up.",your whole mindset has shifted since you quit. you find that it really doesn’t cross your mind much anymore.,you were successfully able to put smoking behind you. you really see yourself as a non smoker now.,you don't think about smoking anymore.,oh good. sounds like we don't need to talk about it then.,really? you never think about it?,addiction after defeat is a virtue.,"i think its great that you quit smoking, now we can think about these other things.",i was just curious to see where your mind was at in regards to smoking.
"i don’t consider myself as someone who has quit smoking.  i don’t say that to people because very often people’s response to that is “everyone starts smoking again eventually!  it’s like they want to warn you not to get ahead of yourself. so, i just get discouraged and i would rather not say that or talk about smoking with the others, although i guess that i am no longer a smoker since i have stopped smoking for some time now.",quitting is a personal success for you. at this point you’d rather keep the news to yourself because other’s comments could potentially drag you down.,you are more optomistic than others about your long term success with quitting. you feel like you've really got this under control.,you don't identify as a smoker any longer.,you're at a risk for relapse if you believe that everyone starts smoking again eventually. you can identify as a non-smoker to help you stay away from cigarettes.,aren't you worried you're going to start smoking again?,"quitting smoking is a virtue, value it.","it's wonderful that you have quit. if you aren't comfortable saying that, maybe you can say, ""i'm a former smoker."" or even something like, ""i'm a struggling ex smoker""",well i'm happy that you've stopped smoking and i think you make a great point. it's not that simple to quit but i don't think it's fair to say that everyone will start smoking again eventually because that's simply not true.
"my husband supports me. he actually forbids me to smoke. i don’t necessarily like this, you can imagine. sometimes it actually makes me want to smoke more, but i still don’t do it, because i am doing this for the baby’s health. but it’s really unpleasant when we talk about it. he still smoking of course.","while you’re happy to stay quit right now for the health of your baby, you wish that he wouldn’t put so much pressure on you. 
",your husband’s opinions on whether or not you smoke weighs on you a bit.,"you stopped smoking for the baby's health, but your husband is still smoking. ",you don't need to talk to your husband about the desire to smoke if he's still smoking.,how can your husband say he supports you if he's still smoking?,"you say your husband supports you but he still smokes. this is incongruent. he may be supporting the child but is he aware that second hand smoke is dangerous as well? maybe you two should have more open dialogue and perhaps he can join us for a session when he is ready,","send him conversations with an expert, because now you generate a life.","my wife has been smoking for years, and i know the strain it causes you to try to qquit."
"my reasons (to quit) have very much to do with the baby’s health. i could not imagine smoking after we found out i was pregnant and i think my husband felt the same. and now we are so happy and i breastfeed, so i could not intoxicate him or smell like cigarettes around him, you know how hands smell when you smoke… but after i no longer breastfeed and he is grown up, i really couldn’t say, if we want us to be honest here. it’s too hard to imagine what may happen in 2-3 years or more.","with an infant at home, the future seems a bit unknown. you are pretty proud of yourself for being smoke-free right now but you’re questioning if you’ll be able to stay that way.","you quit for your baby's health, but your baby is growing up and you're not sure you won't smoke again.",you're just happy to be a non-smoker for right now.,"you need to stay healthy for yourself, and not just for someone else. you child needs you to stay alive and healthy.",do you want to smoke around your child?,"it might be important to think about longer term goals, like being a good example for him, or being there when he reaches his milestones. also, it might be worthwhile to consider how not smoking benefits you - what do you enjoy about being a non smoker?","that's right, don't think about smoking anymore, you've already got over it and that's wonderful.","well done for taking your baby's health into account and i understand that there comes a point in life where you may want to do things for yourself again, but i would ask you to consider the health and cost benefits of trying to avoid cigarettes regardless."
"my husband does not like how my mouth smells, after smoking. he is glad that i stopped smoking, so this will help me in the future to stay smoke free.",having fresh breath now that you’ve quit smoking is a huge motivator for you.,there are a ton of things you love about being smoke free. right now you and your husband are both really enjoying that fresh breath feeling.,you're glad you stopped smoking because your husband likes your breath better,"you should be glad you stop smoking for your own health, not because of what your husband thinks.",is fresh breath important to you too?,"this is good, in addition to improving your situation with your husband, it also benefits you in your health.",i think that is a good idea. keep this as a focal point when your willpower dips.,"it is a great thing that this helps you stop from smoking, and shows how empathetic you are to your husband's needs."
"now that i have stopped smoking, i will never smoke again. i know myself and once i decide something, i never turn back.","you've achieved so much and you've put in so much work to getting to where you are now, the idea of going backwards is not an option for you. ",you're really commited to being a non-smoker for life.,you're resolved not to smoke.,"it's best to not being prideful. anyone could relapse under the right set of circumstances. 
",what do you know about yourself?,"that's good, and i hope you never really smoke again.",that is wonderful. just keep believing in yoursel and avoid temptation.,it is a good decision .please follow it your every day life
"i tried to quit smoking several times, however, each time i started smoking again. but after i found out i was pregnant, i never thought of smoking again. the baby is the greatest motivation. there are no temptations to smoke. now i am focusing on raising the baby. the baby is my life.  that should keep me from smoking.",you weren't successful with quitting in the past. it wasn't until you got pregnant and had this new future for yourself that you were finally able to see yourself as a non-smoker.,getting pregnant gave you all the motivation you need to stay smoke-free.,"you've tried many times to quit smoking, but right now you're focused on the baby.","people who stop smoking for someone else, end up relapsing. you need to be focused on yourself.",what are some better reasons besides the baby to quit?,that's great to hear. you will not regret making that decision.,"that's right, do it for your child, good things happen.",im really glad to hear that
"after becoming pregnant, something changed in my body and my body rejected cigarettes. i was feeling sick when i smoked and even just from smelling the smoke. now i can’t believe how foolish i was to ever smoke.",you're embracing a whole new life -- a life as a mom and a life as a non-smoker.,"now that you’re pregnant, smoking isn’t as appealing as it used to be. ",getting pregnant helped you quit smoking.,"perhaps if you want to smoke in the future, you can consider getting pregnant again.",why couldn't you find this motivation without getting knocked up?,don't beat yourself up about the past. be thankful that you were able to quit and proud of your accomplishment.,i think its great that you have quit smoking and lets keep it up.,that is really great to hear
"there is no need for you (counselor) and i to discuss how my wife can remain smoke free. if a person wants to do something, they will just do it. if she wants to smoke, she will smoke, it is not something that we can influence.",talking about ways that you can help your wife stay smoke free doesn’t sound helpful right now because you’re not convinced that your support will change her path.,you support your wife either way. you're going to stand by her side as a smoker or as a nonsmoker.,you're powerless over your wife's smoking habit.,you can set boundaries for what you'll allow in your house. just tell her you refuse to be married to a smoker.,how can you possibly support her continuing to smoke?,i think you should support her. do things with her and encourage her to try. don't give up on her.,she might change if you let her know that it bothers you. perhaps she would begin to stop if you let her know that you don't want to see her physically destroy herself.,"wrong, smoking is an addiction and not because the person needs it, and this can be converted, as it will improve the person's health."
"i quit when my wife decided to quit, because i do not think that such a change can happen unless both partners work together. but she has been through so much stress because of the baby’s health problems that i sometimes worry she will start smoking just because of all that stress and pressure.","your wife’s wellbeing, both mental and physical, is really important to you. you realize that your baby’s health condition may impact her ability to stay quit and that concerns you.","you really want to be there for your wife. ultimately, you'd like her to stay quit but you know that there might just be too many stressors right now. ",you want your wife to stay quit with you.,you have to do what's right for your own health. you can't wait on her to get her resolve. you're on your own journey and you're ready to stay quit. just focus on yourself.,why does what she decides about smoking impact you?,you should get her a massage to make her feel better.,it’s good that you already know this because this means that you can be there for her when she will eventually be tempted to start again. too strong people are better than one when it comes to facing this addiction.,"this is very good, and you should motivate and help them to never fall back into addiction."
"i’m happy she  quit, but i do not think i would fight with her or even say something if she started smoking again, we do not have that kind of relationship. i respect her and i would eventually accept this, especially because i know she would not smoke around the child or while breastfeeding.","while you’d prefer for your wife to be a nonsmoker, you respect her decision making and know that she’ll do what’s necessary to keep your baby healthy.",you understand the importance of intrinsic motivation and finding your own reasons to stay quit. you want to make sure that your wife stays quit without feeling a bunch of pressure from you.,you're glad she quit smoking for the baby.,you need to watch out for your child's health in case she loses her resolve to stop stopping.,you don't care if she starts smoking again? what kind of husband says that?,you should try to talk to her respectfully on why it would bother you.,"i know that you don’t wanna fight, but if you care about this person you need to make sure that their health is taken care of. the fact that they are a parent should give them enough motivation to not want to smoke.","support so that you never smoke again, this is bad in every way."
"i don’t want to help my wife to stay smoke free. it’s her job, not mine, her decision, not mine. i can’t force her or convince her to stop smoking. she can do whatever she wants with her life now that the baby has come.",you don't really see any way you can help your wife with her goal of staying smoke free.,you’d rather your wife handle this on her own.,you can't control your wife's decision to smoke.,you're right; you can't control her. but you can control what happens around the baby.,can you send her text message reminders to not smoke around the baby?,"some people need external help in order to change. if you care about her, you'll help her.","but don't you think thinking like that is being selfish? she is his wife. you need to take care of her. and now more than ever she needs her support. she is facing a very difficult phase. i'm sure if you help her, she'll feel better.",don't you care about her well being?
is not up for discussion if she starts smoking or not. she won’t. i won’t allow her that.,you feel very strongly that you don’t want to be married to a smoker.,you're confident she's not smoking.,you won't allow your wife to smoke.,"good for you, taking charge of your child's health.",what can you do to make sure she doesn't smoke?,"i do want to remind you that unfortunately, you cannot control others. you are only able to control your response to others actions. i would offer your advice and make clear your feelings, but it is her choice ultimately.","be patient, the best way to resolve this is a good conversation.","smoking is absolutely bad for anyone to start up. but we can't control what others do. if she were to start, what would change in  your relationship?"
what? she told you she did not smoke for several months? she just smoked yesterday. she won’t stop smoking.,your wife’s story is inconsistent. you wonder why she may be saying one thing but doing another.,you're confused to hear that your wife's story is different.,you saw her smoke yesterday.,thank you for telling me. i'm glad someone was honest.,how can you make sure she doesn't keep lying?,"this is an addiction that can and should be treated, but it also depends on the person's goodwill.",addiction is a problem you have to try to create a physical activity routine to supply that endorphin craving.,thats a pity that she felt like she couldnt tell me the truth
"i will stay smoke free during the breastfeeding period, however, i am not determined to stay smoke free after. i am not sure what will happen but i don’t want to think about that.",you’re not quite sure if staying smoke-free is the right path for you and you’re not quite ready to talk about what may happen after you're done nursing.,staying smoke free for your baby is really important to you. you definitely don't want to smoke while you're breastfeeding.,"you're not going to smoke while breastfeeding, but you might pick it back up later.","if you can not smoke for several months, then you should be able to maintain after you ween your baby.",why can't you just stay quit?,"just stop now and think that you are managing a life with a child, after that things will change.",if you can stay smoke free for that long im sure you can continue.,well of course your health and that of your baby is the top priority. just think of the aftermath once your baby is born.
this is not the time for me to talk about smoking. the baby takes all my energy and i don’t have energy to even think about smoking.,with the new baby you’re feeling depleted. the idea of talking about quitting is just too much right now.,you have way too much on your plate right now to consider quitting. maybe if everything wasn't so overwhelming you'd feel differently.,you're too tired to stop smoking.,"smoking is taking energy away from you by filling your lungs with carcinogens, toxics. you have to think about yourself. ",when can we talk about it then?,it’s good that you’re not thinking about smoking. however you need to try to manage your time better and not let the baby take up all of your energy. i know it’s easier said than done but it can be done.,"ok, lets talk about energy.  what gives you energy?  maybe find five minutes to do something that nourishes you from the inside out.",what type of things are you doing for self-care?
sometimes i feel like not knowing if i will get huntington’s disease might be better than knowing.  what’s the point of knowing if there is no cure.,sometimes it feels like it might be easier to keep moving forward without the test results.,"if there waws a cute for hungtington's or treatments options that could slow the progression, you might feel differently about getting your results. ",you don't want to know if you have huntington's disease because there's no cure.,there are many reasons to know if you will get huntington's disease or not. let me tell you some of them.,who taught you it's better not to know?,i realize that is a difficult decision to make. have you made a list of pro's and con's of knowing or not knowing? perhaps that will help you make a decision.,"i think that it’s more of an ease of mine thing. even if you don’t know, you’ll still be worried about it.","don't think of it that way, diseases can be avoided, and if you get caught, fight it."
"i know i need annual mammograms,  but i cannot deal with that now. i have too much going on with my divorce and my mother being ill.","between the divorce and your mom's illness, you're spread really thin. you'd like to think about putting yourself first and taking care of your own health, but it feels outside your ability right now. ",getting a mammogram is important to you but it feels like there’s too much going on right now to schedule a visit.,you're too busy right now to get a mammogram.,treating breast cancer is more time consuming than a mammogram.,don't you care about your health?,"worrying about other people is part of it, but don't forget to have annual medical exams, as you are also a person who can end up having diseases.",self care is needed to care for those you love and to handle all business.,i agree with you so just wait until a better time for you. it should be done but does not have to be done right now immediately.
"i know my son might have fap, but i can’t take him to have that colonoscopy that is out of the question.",you know that the colonoscopy is really important but you're unsure how you can get him to the appointment. part of you might be concerned about what the results might tell you so it feels easier to just avoid it.,you really don’t want to play a role in getting your son to his appointments.,you're not taking your son for a colonoscopy.,you need to know if your son has fap. you must schedule the colonoscopy for him.,don't you care if your son has fap?,do what is best indicated by an expert in the field.,i think he needs to have the medical attention he needs.,everything will be fine soon. consult a doctor to confirm it and then decide further procedures.
"i am scared to tell my daughters i have the brca mutation, i don’t know how to explain it to them without freaking them about.",the idea of telling your daughters is overwhelming because you don’t want to upset them.,you're worried your daughters can't handle this news and what it implies for them.,you're scared to tell your daughters you have the brca mutation.,it's better for your daughter is to know they should get genetic testing also. do you need to make a plan to tell them.,don't you want them to be tested too?,no worries . take your own time and tell them about your problenms casually,"find the best time. hiding it from them can be bad for both you and them. i'm sure if you're honest and explain how this works and what treatments there are, they'll understand and support you.",we should come up with a plan as to how to do this
i worry that i’m being too hasty in my decision to end this pregnancy.  maybe i should wait and think it over,"while at one time your mind was made up about your pregnancy, you’re starting to think that maybe you need to revisit your decision.",this feels like a big decision. you want to be sure you don't make it lightly.,you're realizing you need to think on this a bit longer.,"if you wait much longer, it will be a more difficult and a longer recovery. you should make a decision in the next couple days.",you're considering abortion??,"ending a pregnancy is no easy thing,  perhaps you can try discussing the matter with your partner to weigh the pros and cons of ending it.","pregnancy is two lives and if it's something that doesn't harm your health, take care until the end, when it's born, donate to someone.",if you feel like that's what you should do then i think that's a great idea.
we are so mixed up right now about whether we should continue the pregnancy. we should be able to make this decision but it is so hard. i am a christian and i am not sure what scripture has to say about this.,"your heart is pulled in two directions right now. to find peace, you’d like to consider what members of your religious community might do based on your shared faith.",you really wish that there was a single right answer in this situation.,you want to know what the scripture says about abortion.,i don't think scripture has anything to say about abortion. you should decide what you want.,can't you just ask someone at church?,"continue, if it doesn't affect your health, then if you don't want to donate to a person or orphanage.","if you're a firm christian scripture is very clear that a fetus in the womb is a life. the decision is yours to make, but what do you think you could live with more?",ok
"we had agreed that we would continue the pregnancy no matter what. now my husband feels differently, but i don’t. ",you and your husband are at odds with your decision and you’re struggling trying to reconcile the two opinions.,you feel a bit blindsided by your husband's change of heart.,"your husband changed his mind about continuing the pregnancy, but you haven't changed your mind.",you can remind your husband that he agreed to continue this pregnancy.,why does what he think matter?,i think it's your body and your choice. you should do whatever you want and don't let your husband tell you differently.,"yes, continue, life is being generated and this is the most important.",yes
this whole decision would be easier if you would just tell us what to do.,you’re at a crossroads about what to do and part of you is hopeful that someone else will make the decision for you.,this decision is really weighing on you. it feels like it might be easier if someone else gave you the answer.,you'd prefer for someone to give you the answer.,i can tell you what to do.,what do you want to know?,it would be better if you made the decision for yourself. i don't know what's best for you.,"sometimes decisions come from yourself, you take the direction of your life.",im not here to tell you what to do.
i’ve had other friends who also had an abnormal afp test and their babies were fine.  it makes me less certain i need the amniocentesis.,you’ve heard mixed messages about whether or not an amniocentesis is necessary for you.,you’re starting to wonder what’s the best path forward for you. you're not completly confident that it's moving forward with the amniocentesis.,you're not sure amniocentesis will help you know if your baby is fine.,"i don't know the health histories of your friends, but i do know amniocentesis is medically indicated for you pregnancy. feels like a no brainer. ",why would you not get one?,you shouldn't base your decision just on how your friends' babies ended up.,you need what an expert tells you.,have you spoken to your medical doctor about this concern?
i just keep thinking about what people in my church would think of me if they ever found out about me ending a pregnancy.,what other people think of your decisions is important to you.,you're uncertain what people in the church think about abortion.,you want to know what people in your church would think.,you'd be relieved if you could lie to the church about how your pregnancy ended.,do you think you could hide an abortion?,"only interrupt if it's something harmful to your health, if you can continue, continue, and if you don't want the life generated, donate it to someone.",people  wonth think anything you be yourself always,"this is a natural thing to think about. however, i will remind you that what you do or don't do with your body is not their business. you do not have to share anything with them at all."
we’ve already had so many tests done to figure out why jonnie has his problems. i’m not sure if doing this new test (whole genome sequencing) is just another waste of time and money.,you’re questioning if putting jonnie through these new tests is really necessary.,you're torn about whether or not these tests are going to be worth the time and money.,johnnie has received a lot of tests but none tell you what problem he has.,whole genome sequencing will provide answers we don't have yet.,doesn't a parent do everything they possibly can for their child?,it'll bring you peace of mind if you finally figured out what was causing the problems. the new test would be helpful regardless.,there's always hope in getting a new test done. i think you should give it a go. eventually you're gonna get a test that works but you won't find it unless you keep trying.,it is never a waste of money when it comes to a person's health.
"now that i know about my risk for having a child with duchenne muscular dystrophy, i’m not sure when or if i should tell my boyfriend.","on one hand you feel like your boyfriend has the right to know since it could impact his life down the road, but on the other hand you’re worried it might scare him away.","now that you have this new information from your genetic tests, you’re wondering when it’s appropriate to tell your partner.",you're uncertain how to tell your boyfiend about your risk for having a child with dechenne muscular dystrophy.,you have to tell your boyfriend so he can make the best deicison for himself.,what if you don't tell your boyfriend?,i would let them know. i wouldn't keep secrets from my partners.,tell us how soon and this is something that should be shared between you.,"you should talk to your boyfriend as soon as possible if you want to have a family with him, because keeping secrets is not good"
"i am so busy getting oriented to college life, i’m not sure where genetic testing fits in.",you’re still learning the ropes as a new college student and you’re not sure if testing fits in right now.,"while you see the benefits of genetic testing, you're just not sure it's the right time. ",you can't find time to receive genetic testing.,it's a short office visit to collect the sample for your genetic test. and then we'll know your results.,will you have time between semesters?,it fits in in giving you the peace of mind to know that you’re healthy. you will know that there’s no risk or the amount of risk that you have been getting any sort of disease.,"we always have time for everything, so get tested and don't make excuses.",ok
"i have already figured out what i’m going to do with my career, and now is clearly the best time for me to have genetic testing to determine my carrier status for cystic fibrosis.",you’re ready to get the ball rolling and schedule the genetic testing.,you've been thinking a lot about your future. part of that future involves having all of the answers about your genes.,you feel ready to have genetic testing.,let's schedule you before you change your mind.,does next thursday work?,if that is something you feel like you need to do then i recommend that you get the testing.,ok then lets set up some tests for you.,i can understand why you feel like now is the right time
"i love my brother so much, i feel guilty about wanting to know my carrier status for his disease.",it feels wrong to want to know if the disease your brother has is something you’re also going to have to deal with.,you see the benefit of really understanding your family history and how it impacts your genetic predisposition.,you feel guilty about wanting to know.,you have a right to know your own status.,why would you feel guilty for wanting to know about your own health?,what you did is very right. carriers unknowingly spread the disease. don't feel guilty about it.,"caring about people is normal, even more brotherly, but treat like a normal person.",you shouldnt feel guilty. wanting to know your carrier status is nothing  ti be ashamed of.
"parent of 1 year old with achondroplasia: i don’t see why we need to go to neurology, he has the disease and nothing’s going to change that.",you’re questioning whether or not a follow-up appointment is going to change anything.,"if a visit to the neurologist might change something for your son, then it might be something you'd consider.  ",you don't see a reason to see the neurologist.,let me tell you why you should go to neurology.,what's the big deal about going to the neurologist?,it must go yes and no for you and yes for your child.,"he might have additional conditions that a neurologist can identify. also, the neurology department can keep records to help us see long-term change. i would advise making such records, as they could be important for treatment.",there may be ways that they can help you and them with the condition
i’d rather keep undergoing yearly colonoscopies than have my insurance company know my genetic status for lynch syndrome.,you’re worried about what could happen with your insurance coverage if your insurance company found out about your diagnosis.,it sounds like you may not make peace with your insurance company knowing your genetic status before you're able to move away from the annual colonoscopy.,you prefer to have annual colonoscopies than to tell your insurance company.,colonoscopy is an expensive test to have every year.,why not just tell your insurance company?,"i wouldn't be too cynical about your insurance company. they like making money, but they are not evil.",i get it. but maybe you won't be able to hide it for long. one piece of advice is to clarify things.,"why is that, are you afraid of the outcome?"
parent of a child potentially eligible for a clinical trial for duchenne: i don’t see why i need to test him. his older brother is doing great and he hates having his blood drawn.,you’re concerned about putting your child through additional testing and don’t really want to expose him to anymore blood draws.,you might feel differently about testing him if his older brother wasn't doing so well.,you don't see a reason to test your child for duchenne.,your child and his brother have different genes. we need to test him to see if he has duchenne. the blood draw is a quick procedure.,can you bribe him for the blood draw?,"i think that testing can be beneficial and helpful for not only the child, but future children. ultimately it's up to you, but if it's safe then whats the harm.","this is necessary, not just relying on your convictions.",ok
"she’s only 16, i don’t know why she needs to know she has turner syndrome. she’s only going to get upset.",you have your child’s best interest at heart and right now you’re thinking it would be best for her if you didn’t share this information.,it's scary to think about telling her. not only will she potentially respond negatively but it also makes it more real by talking about it with her.,you think 16 is not old enough to worry about turner syndrome.,she will be more upset if she has turner syndrome and we leave it untreated. she is old enough to understand.,are you just scared to tell her?,tell her and it starts to understand from a young age.,i think she shoud know because she is going to find out one day.,nothing is confirmed. let us pray she should be safe and out of it.
"i don’t see why i have to talk to you, i told my doctor i wanted the brca test and that’s all i need.","you’re ready for action. at this point, additional conversations about the brca test seem unnecessary.",it feels like all of these conversations are a waste of time. there's absolutely nothing you can gain from talking through the potential outcomes of the test beforehand.,you only want to get the brca test.,there are several variations we can test for besides brca. let me tell you why you should be tested for those.,what's the big deal about talking abou it first?,"the doctor talk to me and decided that this would be a good thing. i know that you don’t agree right now, but all you have to do is have the simple conversation with me and that will be it.",you must do what was indicated by an expert and not what you want.,ok
i don’t want to stir up trouble by telling my siblings about my diagnosis of familial adenomatous polyposis.,you’re worried that the news of your diagnosis might have a negative impact on your family.,"since you're unsure how your family is going to respond to the news, it seems easier to just skip the conversation and keep the news to yourself. ",your family will be upset about your diagnosis.,maybe your siblings will be less upset if they have more information. here are some handouts you can give them.,don't you feel obligated to tell them?,"tell them yes, because they are your brothers, trust them more.","why do you think it would stir up trouble? your health is certainly very personal and private, but if it's something that may affect them as well, it is important to share it.",i don't believe you will stir up trouble and you need to understand that they're willing to listen to you. they want to hear from you and it's a lot worse keeping your diagnosis a secret.
my sister says it’s silly to worry about a couple ultrasound glitches.,you’re not entirely sure how much you should be troubled by the ultrasound results.,you’re getting some mixed messages from your doctor and your sister. you want to believe your sister but you're concerned that the ultrasound might know better than she does.,your sister is not worried.,"you said your sister is not worried, but i am worried. we need to run more tests.",why would you listen to your sister over a doctor?,always worry about what the doctor says.,ofcourse we nothing to worry about a couple ultrasound glitches,"that is not silly at all, we all have things that we worry about. have you told her how this makes you feel? communicating with her might make you feel better at the end and she will not say it again."
"i don’t have to worry, the breast cancer is on my dad’s side.","if the history of breast cancer was on your mom's side of the family, you might feel differently. ",you don't think you can inherit breast cancer gene mutations from your dad side of the family.,"since your family’s history of breast cancer is on your dad’s side, at this point you don’t see a reason to worry.",you don't understand how breast cancer gene mutations are inherited. let me tell you how genes are inherited.,did you know you can also inherit breast cancer from your dad's side?,"don't think like that and that's wrong, always take the exams.","actually, breast cancer can be caused by a number of genes, and also by environmental factors. i would advise getting a mammogram.",i think you should speak to a doctor about this
